zip_code,landsqmi,watersqmi,cen10pop,lat,long
02056,14.87,0.5,10981,42.116245,-71.32936
02061,20.94,0.32,10506,42.164569,-70.818844
02062,10.36,0.16,28602,42.18736,-71.195955
02066,16.92,2.2,17656,42.202273,-70.758184
02067,22.67,0.95,17486,42.107782,-71.181771
02071,0.97,0.01,1707,42.103425,-71.273589
02072,16.09,0.37,26999,42.119006,-71.10365
02081,17.92,0.55,18472,42.146227,-71.270378
02090,10.89,0.29,14636,42.219645,-71.216769
02093,21.71,0.91,10955,42.052671,-71.356858
02108,0.14,0,3825,42.357767,-71.064848
02109,0.17,0.11,3771,42.367223,-71.050633
02110,0.19,0.09,1733,42.361962,-71.047847
02111,0.26,0.02,7383,42.350518,-71.059062
02113,0.1,0,6915,42.365335,-71.055236
02114,0.45,0.12,11999,42.363174,-71.068646
02115,0.71,0.04,28441,42.336342,-71.104176
02116,0.63,0.1,20628,42.350579,-71.076397
02118,1.1,0.01,26498,42.33786,-71.069805
02119,1.6,0,25346,42.324026,-71.085021
02120,0.62,0,15181,42.332091,-71.096545
02121,1.75,0.01,25978,42.306267,-71.085897
02122,2.03,0.63,23479,42.291412,-71.042158
02124,3,0.07,47783,42.285805,-71.070571
02125,2.13,0.31,33295,42.315748,-71.055896
02126,2.08,0.02,25562,42.274016,-71.09679
02127,2.02,0.61,31799,42.334992,-71.039093
02128,4.85,1.14,40508,42.361129,-71.006975
02129,1.35,0.49,16439,42.379657,-71.061487
02130,3.33,0.13,35401,42.309174,-71.113835
02131,2.59,0,29826,42.284333,-71.126227
02132,4.56,0.1,25861,42.280455,-71.162016
02134,1.33,0.05,21503,42.358016,-71.128608
02135,2.63,0.22,42780,42.349688,-71.153964
02136,4.59,0.11,28488,42.255083,-71.12922
02138,2.74,0.32,36314,42.379637,-71.135152
02139,1.56,0.14,36349,42.362986,-71.103353
02140,1.15,0.02,17607,42.392157,-71.133996
02141,0.64,0.01,11910,42.3703,-71.08256
02142,0.28,0.22,3141,42.361471,-71.081994
02143,1.54,0.01,24514,42.380985,-71.096552
02144,1.08,0,23891,42.399655,-71.12255
02145,1.4,0.09,25439,42.391577,-71.08991
02148,5.04,0.04,59503,42.43014,-71.057694
02149,3.43,0.24,41550,42.405938,-71.054649
02150,2.21,0.25,35124,42.396824,-71.031348
02151,5.87,1.27,51808,42.418294,-71.001257
02152,1.97,1.19,17497,42.373055,-70.974807
02155,8.2,0.56,57964,42.423839,-71.107673
02163,0.1,0.01,2582,42.366168,-71.12285
02169,8.97,1.47,55055,42.248386,-71.002279
02170,2.08,0.07,19505,42.266412,-71.015573
02171,2.45,1.91,17711,42.292142,-71.020475
02176,4.68,0.08,26983,42.455723,-71.059019
02180,6.02,0.63,21437,42.474208,-71.097665
02184,13.75,0.81,35744,42.205416,-71.002168
02186,13.01,0.3,27003,42.241589,-71.082651
02188,3.72,0.15,14608,42.204578,-70.957749
02189,3.82,0.36,14559,42.208703,-70.931021
02190,7.12,0.53,16119,42.166731,-70.952363
02191,2.02,1.05,8457,42.243453,-70.942033
02199,0.06,0,1146,42.347463,-71.082039
02203,0.03,0,0,42.360598,-71.058775
02210,0.93,0.54,2090,42.347792,-71.039562
02215,0.76,0.11,26125,42.347593,-71.102934
