ZIP_Code,zip5_HH,HO_ins,Veh_ins,health_ins,pl_pension,life_ins,end_ann,vac_home,airline,funeral,hoeql_int,mortg_int
49885,884,419.1,1087.3,2573.2,6115.1,362,340.2,303.5,386.4,82.3,54.6,3540.8
49886,142,405,1064.6,2536.1,5678.3,346.4,325.8,285.6,364,83.3,49,3240.9
49887,1039,403.1,1063.1,2543.4,5572,342.3,321.7,280.4,354.5,87.6,48.9,3140
49891,198,412.9,1068.6,2557.6,5668.2,347.1,326.2,286.5,356.9,88.1,51.4,3275.3
49892,841,422,1094.8,2603.6,6342.6,370.4,348.3,317.3,410.9,85.2,53.3,3433.1
49893,814,417,1084.9,2587.9,5973.4,358.3,336.7,301,381.9,86.7,52.3,3351.7
49894,346,378.1,1026.8,2445.2,5339.6,325,305.4,265.2,347.3,86.5,45.8,3012.8
49895,454,407.5,1063.8,2548.5,5761.8,350,329.1,290.7,368.3,86.9,51.9,3317.9
49896,584,399.5,1057.1,2520.1,5566.3,341.9,321.7,280.5,356.7,83.4,47.9,3169.9
49901,271,412.3,1063.5,2554.3,5808.9,354.3,333,296.6,375.6,87,50.3,3307.4
49903,0,,,,,,,,,,,
49905,904,399.2,1060.2,2491.5,6009.8,347.5,326.5,290,389.4,79.7,51.2,3443.1
49908,1045,355.8,989.4,2334.1,4896.8,307,288.8,242.2,311.9,78.5,43,2908.6
49910,155,408.6,1055.9,2587.5,5538.5,352.7,332,296.4,369.6,95.6,47.3,2996.3
49911,1209,371.8,1019,2410.5,5321,322.8,303.1,267.7,349.9,85.9,42.8,2794.4
49912,342,401.2,1038.3,2549,5008.9,334,313.7,268.4,326.2,93.8,44.7,2855.9
49913,3559,371.8,1016.7,2404,5158.7,318.4,299.6,255.3,330.7,81.8,44.6,2952.4
49915,302,373.1,1013.5,2451.3,4866.8,314.8,296.1,251.8,318.8,91.1,41.9,2701
49916,1106,409.9,1082,2562.8,6197.3,359.9,338.1,304.3,403.1,84.4,51.8,3363.5
49917,0,,,,,,,,,,,
49918,0,,,,,,,,,,,
49919,154,400.1,1067,2528.5,5516.2,339.1,319,273.6,347.5,83.5,48.8,3124.4
49920,2031,402.5,1056.7,2554.8,5486.1,342.6,322,283.9,358.3,92.4,46.7,2983.2
49921,139,370.9,1030.8,2329.5,6296.4,338.6,318,291.7,421.9,70.6,48.5,3367.6
49925,230,408.2,1055.1,2585.2,5498.3,351.3,330.6,294.1,366,95.4,47.1,2985.2
49927,151,379.1,1019.9,2482.7,4894.8,319.1,300.2,255.6,319.6,93.2,42.2,2697.5
49929,0,,,,,,,,,,,
49930,2933,357.4,1007,2318.3,5514.2,318.8,299.5,264.7,362.7,77,44.1,2955.7
49931,3206,300.4,926,2043.7,5139,276.6,259.7,229.5,374.8,65.7,36,2613.1
49934,0,,,,,,,,,,,
49935,2847,385.2,1029.8,2489.3,5174.7,328,308.4,268.6,340.4,91.8,44,2832.2
49938,3490,366.2,1007.6,2384,5103,314.7,295.7,256.9,331.7,86.3,42.8,2776.9
49945,1312,394.8,1048.1,2512.1,5588.9,342.4,322,282.7,365.6,86.1,47,3099.8
49946,1607,373.8,1021.8,2406.5,5218,317.9,298.9,256,333.1,82.9,44.6,2930.9
49947,324,417.9,1070.7,2620.7,5510.8,354,333.3,293.7,361.4,94.3,47.7,3020.8
49948,360,410.4,1058.7,2576.6,5453.2,347.8,327.2,287.4,357.4,92.2,47.4,2993.1
49950,379,427.8,1090.6,2648.9,6098.9,372,349.7,316.7,398.9,92.1,51.3,3284.3
49952,142,403.1,1052.1,2559.7,5313.3,341.4,321.5,278,347.1,90.5,46.2,2958.8
49953,1323,381.3,1015.9,2471.1,4985.9,324.9,305.6,263.5,328.1,90.8,43,2760.5
49958,412,409.1,1071.5,2560.9,5762.4,351.6,330.6,291.4,369.6,85.6,50.1,3218.5
49959,0,,,,,,,,,,,
49960,0,,,,,,,,,,,
49962,232,405.7,1056.5,2547.2,5491.3,344.7,324.1,283.8,354.8,87.8,47.2,3032.8
49963,302,367.5,1006.5,2385.5,4838.9,306.1,287.8,238.5,313.4,82.3,43.4,2864.2
49964,62,354.7,985,2361.1,4542.2,297.2,279.1,234.2,298.6,90.1,39.1,2527.8
49965,166,416.1,1081.8,2582.7,5914.9,358.1,336.6,298.9,377.6,85.2,51.7,3307.3
49967,348,404.1,1047.7,2561.3,5139.9,337.8,317.5,273.3,334,93.1,45.7,2884.4
49968,1113,387.2,1025.5,2465,5031,321,301.7,258,324.5,89.9,44.1,2865.2
49969,618,403.8,1060.4,2573.2,5448.2,347.1,326.6,285.6,354.2,93.4,48.2,2985.6
49970,250,399.5,1066.1,2526.2,5507.8,338.7,318.6,273.1,347,83.4,48.7,3121.4
49971,209,414.8,1072.7,2637.8,5557.4,358.9,338.8,296.2,363.2,93.8,48.3,2990.4
50001,218,448.8,1158.2,2689.2,8115.7,422.1,396.4,384.5,525.4,77.2,66,4313.3
50002,563,396.7,1069.4,2497.2,6046.3,345.8,325,288.5,390.1,80.7,49.9,3295.9
50003,2872,417.3,1110.7,2539.5,7461.9,389.5,365.8,350,488.1,74,59.4,4012.6
50005,294,423.3,1118.3,2620.8,6670.8,375.7,352.8,319.5,427.8,80.4,55.8,3629.2
50006,659,406.3,1099.9,2551.6,6539,364,341.5,309.3,414.1,78.2,52.7,3456.1
50007,99,453,1168.4,2673.5,8352.8,426.6,400.2,392,545.7,72.3,65.7,4499.1
50008,349,394.1,1052.6,2496.3,5584.2,336.3,316,273.5,356.4,82.8,49.1,3269.6
50009,6621,415.8,1120.1,2500.7,7981.1,395.9,371.6,358.1,521.3,66.2,62.5,4346.5
50010,13319,342.8,1009.7,2212,6472.5,324.5,304.7,282.3,459.9,64.7,45.6,3273.6
50011,0,,,,,,,,,,,
50014,11571,278.3,925.2,1897.2,5379.3,266.3,249.6,221.9,376.9,55.1,35.4,2558.1
50020,607,396.9,1066.7,2506.5,5992.8,348.2,327.4,289.8,383.1,80.3,50.3,3295.3
50021,8903,421.3,1129,2512.4,8169.3,401.1,376.3,365.5,540,67.5,63.1,4367.3
50022,3584,370.4,1028.8,2404.5,5542,325.7,305.9,266.1,359.6,80,46.6,3100.2
50023,11458,424.3,1139.9,2508.8,8424,406.2,381,371.1,552.3,62.8,65.6,4581.8
50025,1300,413.2,1081.9,2571.7,6440.9,366.4,344.3,317.2,426.9,86.7,50.6,3382.9
50026,244,430.8,1116.2,2642.5,6963.6,389.7,366.2,340.9,456.6,82.2,56.1,3766.6
50027,125,413.5,1121.3,2583.4,7086.6,379.2,355.9,333,456,78.4,55.5,3610.2
50028,737,397.2,1088.5,2491.4,6820.1,364.1,341.9,313.9,434.2,73.6,55.6,3636.6
50029,270,414.6,1100.3,2579.2,6571,367.7,345.6,316.4,423.6,83.1,51.4,3396.8
50031,31,440.4,1143.5,2647.5,7679.3,406.3,381.4,365.2,492.1,77.4,63.2,4051.2
50032,185,391.5,1051.9,2462.4,5508.1,332.9,313,271.4,348.7,80.1,47.4,3070.9
50033,21,457.3,1166.2,2666.4,8692.6,439.5,412.1,417.7,582.1,76,65.8,4486.7
50034,176,402.8,1087.9,2543.5,6313.1,359.5,337.8,304.1,406.1,80.3,52.1,3406.5
50035,2031,433.3,1142.7,2550.4,8291.4,407.3,382.2,367.9,532.8,64.1,67.5,4688.9
50036,6915,380,1057.1,2424.4,6240.5,343.6,322.6,290.4,400.1,76.1,50.9,3366.6
50038,62,484.9,1212.2,2757.7,10086.3,484.7,454.3,486,709.5,78,67.2,4844
50039,125,425,1128.9,2596.3,7349.8,389.7,365.9,345,471,75.7,59.5,3920.7
50040,82,418.7,1108.1,2594.1,6665.8,372.6,350.4,320.7,422.2,82.9,56.5,3611
50041,41,451.6,1160.1,2697.1,8191.5,427.5,401.2,402.3,557,83.3,56.8,3815.9
50042,134,410.3,1083.3,2548,6398.8,361.5,339.5,313.3,419.9,84.5,51.2,3349.9
50044,374,398.2,1071.1,2523.4,5821.9,343.9,323.4,278.2,364.1,79.3,50.7,3344.7
50046,536,430.6,1135.8,2583,7806.2,400,375.4,357.7,506.4,71.1,62.7,4269.4
50047,2169,421.7,1118.5,2553.5,7433.2,389.3,365.4,346.1,482.8,73.3,59.9,4046.7
50048,321,409.3,1086.3,2564.7,6081.1,355.5,334,294.6,390.9,81.4,51.6,3423.7
50049,2867,391.5,1049.7,2481.3,5758.8,339.4,319,282.8,371.7,84.8,48.4,3188.6
50050,364,397.3,1056.9,2531,5705.2,342.6,322.1,285.9,374.2,89.3,47.5,3091.2
50051,121,419.2,1113.9,2616.4,6624.8,373.4,350.8,321.2,429.7,83,53.8,3433.3
50052,51,394.6,1047.8,2508.1,5464.4,335.9,315.7,271.9,351.8,85.6,48.1,3217.4
50054,1339,408.5,1095.4,2533.7,6763.1,369.8,347.3,319,433.8,76.8,56.1,3696.9
50055,324,425.6,1123.5,2603.3,7145.8,384.4,361,337.6,454,79.2,58.5,3809.8
50056,577,407.1,1094.9,2537.5,6513.6,360.1,338.1,303.8,408,77.6,56.5,3704.9
50057,95,416,1093.5,2556.3,6568.8,369.7,347.5,315.2,419.3,78.1,57.5,3732.3
