ZIP_Code,zip5_pop,zip5_HH,pop_growth,hh_avg_size,hh_med_age,med_rent,med_value,med_vehicles,med_income,avg_income,percap_income,pop_med_age,income_200k,high_inc_avg
61111,22831,9435,-2.18,2.41,52.1,672.96,123706,2.1,64063,75198,31209,39.2,4.14,297499
61112,176,78,-2.69,2.1,57.4,670.98,159384,2.4,73781,109181,49448,47,8.68,495206
61114,16182,6665,-2.15,2.39,58.8,757.2,171046,2.3,80811,104537,43107,47.5,13.49,310664
61115,21828,8281,-2.33,2.63,52.5,698.2,117002,2.3,64053,72174,27601,39.6,2.68,227602
61125,0,0,,,,,,,,,,,,
61130,0,0,,,,,,,,,,,,
61131,0,0,,,,,,,,,,,,
61132,0,0,,,,,,,,,,,,
61201,38774,15872,-0.92,2.3,52.7,606.69,102440,2,54055,66088,29071,40.6,3.17,245124
61204,0,0,,,,,,,,,,,,
61230,1246,525,-3.05,2.4,56.6,402.14,125576,2.6,64768,76242,32010,44.6,3.1,334305
61231,5739,2413,-2.87,2.3,56.4,426.17,103919,2.4,54637,65130,28435,46.2,2.08,259261
61232,1155,458,0.12,2.52,53.6,679.09,137895,2.4,76686,88696,34961,43.7,3.61,411122
61233,0,0,,,,,,,,,,,,
61234,1096,464,0.1,2.39,54.5,429.76,102289,2.6,67007,77246,32558,44.2,2.86,287815
61235,1121,480,-1.18,2.34,54.9,361.92,108682,2.4,61025,80438,34497,45.2,4.21,473768
61236,0,0,,,,,,,,,,,,
61237,0,0,,,,,,,,,,,,
61238,3104,1233,-2.05,2.45,54.1,316.94,108316,2.6,63313,73108,30039,42.4,2.5,279547
61239,1253,496,0.1,2.52,50.7,551.41,123898,2.3,48701,68632,27165,34.7,4.49,295242
61240,5964,2372,-0.31,2.51,55.3,809.31,146123,2.6,80385,95141,37704,45.2,8,285556
61241,7110,2787,-1.19,2.55,52.6,436.61,107527,2.4,64235,72605,28361,40.8,2.38,281982
61242,1039,432,-0.17,2.36,56.6,530.98,152978,2.5,76648,94485,39744,47.2,8.24,310311
61243,271,98,-1.47,2.79,53.8,407.88,140485,2.7,64603,80442,29145,39.7,3.89,358769
61244,22836,9620,-1.28,2.33,53.2,570.21,114258,2,53841,64066,27868,40.9,3.07,204314
61250,2368,944,-1.83,2.5,54.4,393.09,127946,2.5,65970,74704,29967,42.9,2.53,227365
61251,353,134,-0.87,2.61,55,433.85,141647,2.5,67712,75861,29468,43.2,2.33,231864
