ZIP_Code,zip5_HH,charity,church,education,political,assets,savings,checking,USbond,securities,coll_tuition,elem_HS,other_gift
01536,2925,372.6,851.5,91.9,13,121022,16930.6,39539.1,683.5,64595.5,1292.1,246.4,608.6
01537,997,312.4,797.5,74.6,11.8,94178.2,14412.7,27915.1,576.3,51790.3,1033.9,200.7,558.4
01538,0,,,,,,,,,,,,
01540,4254,317.1,799.3,76,11.5,96884,14380.5,29556.2,590.1,53149.1,1050.4,214,547.3
01541,1288,462.5,954.2,118.5,15.6,156393.3,19241.5,54266.1,868.9,83494.9,1416.9,290.2,655.9
01542,703,323.6,827.8,77.7,11.6,98485.7,14562,30061.9,599.8,54011.9,1020.4,212.6,554
01543,2897,373.9,872,93.3,13.3,119748.8,16544.2,38765.6,694,64621.2,1223.6,261.9,583.2
01545,13739,358.1,823.3,84.2,11.8,116127.4,18481.8,37461.5,609.1,59717.2,1575.6,251,695.1
01546,0,,,,,,,,,,,,
01550,7216,230.1,688,50.8,9.2,63584.3,11834.3,15607.3,415.4,36077.7,865.7,152.6,498.4
01560,1997,315.5,756,74.4,10.3,103191.9,16452.6,32639.9,558.4,53791.4,1375.2,226,597.4
01561,285,288.9,794.6,68.3,11.2,85081.1,13802,24408.9,520.5,46800.7,1025.5,195.1,537.1
01562,5058,301.6,774.3,71.4,11.2,90850.3,13943.7,26868.9,553.8,50185.5,1003.6,193.7,544
01564,2885,438.1,934.5,112.1,15.1,146461.8,18438,49979,817.4,78528.1,1346,285.7,633.9
01566,2461,375.3,864.7,92.8,13.1,119503.8,16312.8,38978.6,686.2,64522.5,1191.5,243.2,606.8
01568,2791,446.8,899.5,115.8,14.5,156642.5,18993.6,55415.5,847.8,82944.1,1441.3,293.4,623.1
01569,5309,355.6,852,87.5,13,111127.4,15818.5,34979.1,653.4,60489.1,1154.2,240.4,581.5
01570,7456,259,722.2,59.3,10.1,74829.2,12569.6,20415.5,469.3,41859.8,917.8,166.5,517.7
01571,4235,318.5,822.2,76.1,12,94124.1,14460,27655.4,570.9,51963.1,1049.4,217.2,564.5
